"Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainPhi) []","dB(RealizedGainTheta) []"
4.64,90.0000000000002,124,-7.1687171051245,-18.4257021943842
4.64,90.0000000000002,126,-7.38591073989935,-18.5718275858232
4.64,90.0000000000002,128,-7.60014370537098,-18.753938948352
4.64,90.0000000000002,130,-7.8115086323443,-18.9769632430633
4.64,90.0000000000002,132,-8.01981945820822,-19.2461824167428
4.64,90.0000000000002,134,-8.22450410893244,-19.5673817124643
4.64,90.0000000000002,136,-8.42449618996611,-19.9470265353952
4.64,90.0000000000002,138,-8.61813700208431,-20.392473962557
4.64,90.0000000000002,140,-8.80310383565839,-20.9122227766152
4.64,90.0000000000002,142,-8.97638543628344,-21.5161961409314
4.64,90.0000000000002,144,-9.13432932437973,-22.2160212257073
4.64,90.0000000000002,146,-9.27278571300844,-23.0251873588581
4.64,90.0000000000002,148,-9.38736567018005,-23.9587407508607
4.64,90.0000000000002,150,-9.47381390340733,-25.0315727078017
4.64,90.0000000000002,152,-9.52846895168234,-26.2527563100204
4.64,90.0000000000002,154,-9.54875106877817,-27.6093598323042
4.64,90.0000000000002,156,-9.53359234597177,-29.0253375201445
4.64,90.0000000000002,158,-9.48371875005939,-30.2818211188931
4.64,90.0000000000002,160,-9.40171813427125,-30.9720240454821
4.64,90.0000000000002,162,-9.29187713159804,-30.7548088133513
4.64,90.0000000000002,164,-9.15982524561366,-29.7674742545904
4.64,90.0000000000002,166,-9.01206475406762,-28.4446870089052
4.64,90.0000000000002,168,-8.85547708233095,-27.1041020328111
4.64,90.0000000000002,170,-8.69688130910086,-25.8814298188975
4.64,90.0000000000002,172,-8.54269030497982,-24.8149230532607
4.64,90.0000000000002,174,-8.39867859070467,-23.9052801830812
4.64,90.0000000000002,176,-8.26985260605439,-23.1416091328748
4.64,90.0000000000002,178,-8.16040156054664,-22.5110120221895
4.64,90.0000000000002,180,-8.07370370184604,-22.0017642677571
