"Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainPhi) []","dB(RealizedGainTheta) []"
5.68,0,148,-4.98646708409922,-17.5531094849558
5.68,0,150,-5.29224335920998,-17.9961916652538
5.68,0,152,-5.64630310113325,-18.4683513768984
5.68,0,154,-6.05366051469617,-18.9728177436695
5.68,0,156,-6.52036708978659,-19.5128687461614
5.68,0,158,-7.05386339601006,-20.091819899138
5.68,0,160,-7.66348286106522,-20.7130144590638
5.68,0,162,-8.36119450823171,-21.3798138590526
5.68,0,164,-9.16273587712046,-22.0955861869981
5.68,0,166,-10.0894119332491,-22.86368920356
5.68,0,168,-11.1710924847751,-23.687442342724
5.68,0,170,-12.4515097708311,-24.5700788483269
5.68,0,172,-13.9983378415979,-25.5146638264765
5.68,0,174,-15.9242739575821,-26.5239550879725
5.68,0,176,-18.4369587795762,-27.6001687437793
5.68,0,178,-21.9773278214086,-28.7445864275122
5.68,0,180,-27.6156076708169,-29.9568989799272
5.68,90.0000000000002,-180,-29.9568989799271,-27.6156076708169
5.68,90.0000000000002,-178,-29.3157071537724,-27.3179303714583
5.68,90.0000000000002,-176,-27.1369160950178,-27.2065003840148
5.68,90.0000000000002,-174,-24.5106835099626,-27.2736286643754
5.68,90.0000000000002,-172,-22.0303529906857,-27.5189596481272
5.68,90.0000000000002,-170,-19.8273851619002,-27.9493211983822
5.68,90.0000000000002,-168,-17.8921031260675,-28.579803286301
5.68,90.0000000000002,-166,-16.1882392689465,-29.4364127696938
5.68,90.0000000000002,-164,-14.6807542342402,-30.5612491087959
5.68,90.0000000000002,-162,-13.3407818141215,-32.0222074657797
5.68,90.0000000000002,-160,-12.1453145371981,-33.9308757506235
5.68,90.0000000000002,-158,-11.0759775276141,-36.4701269279437
5.68,90.0000000000002,-156,-10.1178870041361,-39.8607795525307
5.68,90.0000000000002,-154,-9.25876065283674,-43.3220157902288
5.68,90.0000000000002,-152,-8.48825591007177,-42.264733935796
5.68,90.0000000000002,-150,-7.79748181805493,-38.4886927555942
5.68,90.0000000000002,-148,-7.17863701526525,-35.3842528194936
5.68,90.0000000000002,-146,-6.62473884714305,-33.0456497597962
